Outcome family,Instrument / evidence,Timing,Unit,Primary analysis,Decision rule guidance
Knowledge — overall and by domain,Parallel standards-aligned assessment with domain subscores,"Pre, post, delayed",Student,"Paired mean change, 95% CI, paired effect size; item/domain diagnostics",Pre-register a positive-change gate and minimum domain coverage; do not use normalized gain as the sole statistic
Application,"Two common performance tasks: e.g., risk/control analysis and network/incident task",Midpoint and capstone,Student/task,"Rubric means, proficiency rate, revision gain; double-score a sample",Pre-register proficiency standard and acceptable inter-rater reliability
Delayed retention,Parallel knowledge form plus selected repeated task elements,4–8 weeks after instruction/course,Student,Delayed score and retained proportion of post-minus-pre gain,Pre-register an acceptable retention range and report uncertainty
Transfer,Novel scenario with changed surface features requiring method selection and justification,Capstone or delayed,Student,"Analytic rubric: representation, evidence, method choice, mitigation, justification",Require reasoning and adaptation; do not count a rehearsed replica as transfer
Safety and ethics,Authorization/privacy scenario items; lab compact; incident and near-miss log,Continuous,Student/class,"Decision accuracy, violations, near misses, corrective actions",Zero unauthorized targeting; every near miss reviewed and closed
"Self-efficacy, interest, belonging",Brief validated or carefully piloted scales plus open response,"Pre, midpoint, post",Student,Change and subgroup patterns; reliability of scale,Secondary outcome only; never substitute for knowledge/performance
Engagement and completion,"Attendance, lesson completion, attempts, revisions, time-on-task",Continuous,Student/class,"Rates, distributions, relationship to learning outcomes",Use diagnostically; high engagement without learning is not success
Teacher feasibility,"Preparation minutes, troubleshooting minutes, support contacts, confidence, fidelity checklist",Weekly and post,Teacher/lesson,Median and trend by module; completion and deviation reasons,Pre-register a sustainable prep/support target after initial onboarding
Technical reliability,"Login, launch, reset, blocked traffic, device failure, uptime, IT escalation",Each lab,Session/class,"Launch success, failure rate, time lost, root-cause categories",Pre-register launch and uptime targets; no unresolved critical security issue
Equity and accessibility,"Access failures, accommodations, equivalent-path use, subgroup growth and experience",Continuous/post,Student/subgroup,Disaggregated outcomes with small-cell suppression; missingness review,No systematic access barrier; equivalent path must preserve the learning objective
Approval readiness,"Completed standards map, checklist evidence, safety/privacy artifacts, version register",Before and after pilot,Jurisdiction/site,Percent resolved; unresolved stop conditions,No marketing or approval claim while a stop condition remains unresolved
Cost and scalability,"Licenses, devices, PD/support hours, IT setup, reusable effort, cost per completer",End of pilot,Site/course,Total and marginal cost; sensitivity by class size and lab mode,Pre-register acceptable total cost and support burden for scale
